(30.0, 0.6150374963333333)
(35.0, 1.2729207466666665)
(40.0, 2.6238925316666664)
(45.0, 4.930790693333333)
(50.0, 8.457251769333332)
(55.0, 14.062006245666666)
(60.0, 22.75576249366667)
(65.0, 34.613564075999996)
(70.0, 50.742565535333334)
(75.0, 73.728206292)
(80.0, 102.49578828300001)
(85.0, 143.47851425399998)
(90.0, 194.39726300633333)
(95.0, 257.240207827)
(100.0, 337.77841410533335)
(105.0, 439.2249830133333)
(115.0, 708.738898896)
(120.0, 885.3708930123333)
(125.0, 1104.371326027)
(130.0, 1357.05554435)
(135.0, 1661.6244481656668)
(140.0, 1994.9709787113334)
(145.0, 2393.4235165520004)
(150.0, 2845.655079495666)
(155.0, 3415.8680523386665)
(160.0, 4030.6116798456665)
(165.0, 4726.2086803189995)
(170.0, 5532.027171826667)
(175.0, 6519.299408794333)
