(59, 412.21)
(60, 534.09)
(61, 489.79)
(62, 383.9)
(63, 441.74)
(64,	479.27)
(65,	423.44)
(66,	333.36)
(67,	503.22)
(68,	557.7)
(69,	618.11)
(70,	446.24)
(71,	474.21)
(72,	536.36)
(73,	403.88)
(74,	401.79)
(75,	563.25)
(76,	509.02)
(77,	549.3)
(78,	575.1)
(79,	497.79)
(80,	480.9)
(81,	490.4)
(82,	552.8)
(83,	774)
(84,	820.9)
(85,	1366.2)
(86,	1432.3)
(87,	1000)
(88,	1327.87)
(89,	1790.37)
(90,	1398.23)
(91,	1577.98)
(92,	1545.05)
(93,	2266.68)
(94,	2106.58)
(95,	2253.88)
(96,	2888.69)
(97,	4249.69)
(98,	5002.39)
(99,	6958.14)
(100,	6433.61)
(101,	5160.1)
(102,	2892.63)
(103,	3965.16)
(104,	4256.08)
(105,	5408.26)
(106,	6596.92)
(107,	8067.32)
(108,	4810.2)
(109,	5957.43)
(110,	6914.19)
(111,	5898.35)
(112,	7612.39)
(113,	9552.16)
#ADDPOINTS
(114,	9805.55)
(115,	10743)
(116,	11481.1)
(117,	12917.6)
(118,	10559)
(119,	13407.7)
