(40.0, 0.022933185289480868)
(42.0, 0.024810825825361957)
(44.0, 0.027027354401476373)
(46.0, 0.03126280980441137)
(48.0, 0.05516293582917619)
(50.0, 0.08915233619134828)
(52.0, 0.14386865185228626)
(54.0, 0.21518096337498885)
(56.0, 0.40133791808181934)
(58.0, 0.6391084610858363)
(60.0, 1.1432898699950018)
(62.0, 2.2051191279534446)
(64.0, 4.047862937075333)
(66.0, 6.964622412180212)
(68.0, 12.053180567344945)
(70.0, 20.612681463834406)
(72.0, 34.9328802847308)
(74.0, 68.962794078573)
(76.0, 127.99055906168739)
(78.0, 249.71247852131037)
(80.0, 287.47229901013037)
(82.0, 590.3896284946057)
#ADDPOINTS
(84.0, 1074.449070121733)
(86.0, 1944.1600235674334)
(88.0, 3267.6794827177014)
(90.0, 5952.579727122936)
