(50.0, 31.503794554)
(55.0, 53.51923168166667)
(60.0, 86.78068864933334)
(65.0, 134.97106195666666)
(70.0, 201.453621584)
(75.0, 298.018217763)
(80.0, 418.10159902966666)
(85.0, 563.6630362883334)
(90.0, 754.9291773926667)
(95.0, 983.0465598430001)
(100.0, 1294.6145259103334)
(105.0, 1655.582899125)
(110.0, 2075.937092384)
(120.0, 3224.4570102830003)
(125.0, 3951.133736209667)
(130.0, 4750.833899987)
(135.0, 5738.7660392613325)
(140.0, 6851.584402690999)
(145.0, 8121.840864129333)
(150.0, 9663.334084263668)
(160.0, 13320.206517107334)
(165.0, 15600.210877618332)
(170.0, 18091.569150869334)
(175.0, 21068.716949187)
