(73.0, 87.69490434766341)
(74.0, 100.13591232315639)
(75.0, 97.69545491627952)
(76.0, 108.42807514303593)
(77.0, 113.2831270916323)
(78.0, 115.12566434296826)
(79.0, 129.47059796312715)
(80.0, 131.47218025548838)
(81.0, 130.2335788397223)
(82.0, 149.6659652625423)
(83.0, 159.16998003960614)
(84.0, 154.0521941707217)
(85.0, 173.21645017027993)
(86.0, 181.4773543350864)
(87.0, 188.38066905322069)
(88.0, 198.4582192042677)
(89.0, 203.42932815857432)
(90.0, 227.63071823516088)
(91.0, 225.59480493987064)
(92.0, 261.62932025595586)
(93.0, 252.60729780775418)
(94.0, 286.32737286926425)
(95.0, 292.0465276686439)
(96.0, 325.0781991691222)
(97.0, 335.3514012906772)
(98.0, 360.86406566981856)
(99.0, 378.8522367318911)
