(	2	;	10.537321319661500	)
(	3	;	10.596963632788800	)
(	4	;	10.742514650641700	)
(	5	;	11.132455532033700	)
(	6	;	12.282111447664200	)
(	7	;	16.029604103800100	)
#ADDPOINTS
(	8	;	29.608515666673800	)
(	9	;	84.580981730508600	)
(	10	;	334.317232401242000	)
(	11	;	1612.092311415690000	)
(	12	;	8997.273720063200000	)
(	13	;	57332.581884453900000	)
(	14	;	416285.154024170000000	)
(	15	;	3445982.870751220000000	)
(	16	;	32549775.915837800000000	)
(	17	;	351107631.959571000000000	)
(	18	;	4327933890.018800000000000	)
(	19	;	60997669846.214800000000000	)
(	20	;	983433096713.933000000000000	)
(	21	;	18144781838490.000000000000000	)
(	22	;	383253219110509.000000000000000	)
(	23	;	9269974183440940.000000000000000	)
(	24	;	256829326452262000.000000000000000	)
(	25	;	8152386140832950000.000000000000000	)
(	26	;	296543035521665000000.000000000000000	)
(	27	;	12363240857554000000000.000000000000000	)
(	28	;	590865601136070000000000.000000000000000	)
(	29	;	32375734668512200000000000.000000000000000	)
(	30	;	2034143053066300000000000000.000000000000000	)
(	31	;	146563262577011000000000000000.000000000000000	)
(	32	;	12111460677164700000000000000000.000000000000000	)
