(50.0, 7.8359451705000005)
(55.0, 11.209349911)
(60.0, 15.7072419545)
(65.0, 21.4771458175)
(70.0, 27.8664359925)
(75.0, 37.3955972075)
(80.0, 46.567764808999996)
(85.0, 60.218568664)
(90.0, 74.500379506)
(95.0, 91.5374243655)
(100.0, 108.7951339055)
(105.0, 130.5853727345)
(110.0, 154.283230044)
(115.0, 181.36079743300002)
(120.0, 217.3820758325)
(125.0, 247.943949791)
(130.0, 299.5603725665)
(135.0, 340.472992427)
(140.0, 382.367382281)
#ADDPOINTS
(145.0, 436.049562739)
(150.0, 498.1104766725)
(155.0, 552.3104558535)
(160.0, 624.4981895615)
(165.0, 707.4011584285)
(170.0, 788.783532872)
(175.0, 868.959392549)
(180.0, 931.142356928)
(185.0, 1055.842598145)
(190.0, 1140.202002297)
(195.0, 1246.1073389819999)
(200.0, 1377.874186369)
(205.0, 1503.9503997455)
(210.0, 1564.258338005)
(215.0, 1717.7841702265)
(220.0, 1885.554125835)
(225.0, 2081.7081124320002)
(230.0, 2231.6879592185)
(235.0, 2332.1348701469997)
(240.0, 2470.2120273484998)
(245.0, 2707.9202507974996)
(250.0, 2867.666584391)
(255.0, 3060.0400342645)
(260.0, 3343.6305178155)
(265.0, 3449.3436733495)
(270.0, 3632.562011727)
(275.0, 3902.4123411745)
(280.0, 4006.4986953264997)
(285.0, 4326.9578807135)
(290.0, 4511.2106613285)
