(	11	;	1.703924443331530	)
(	12	;	2.029624986526110	)
(	13	;	2.503778713138160	)
(	14	;	3.209306431195580	)
(	15	;	4.288285964270130	)
(	16	;	5.992899896302740	)
(	17	;	8.788104947889370	)

#ADDPOINTS
(	18	;	13.566973444779700	)
(	20	;	38.224850451419000	)
#(	21	;	70.221442155341200	)
(	22	;	137.600686673725000	)
#(	23	;	288.550302446389000	)
(	24	;	649.673236850485000	)
#(	25	;	1575.660083925250000	)
(	26	;	4129.950996542810000	)
#(	27	;	11737.126641883600000	)
(	28	;	36285.398253896100000	)
#(	29	;	122425.761493380000000	)
(	30	;	452273.389433761000000	)
#(	31	;	1835404.922551330000000	)
(	32	;	8208797.384133920000000	)
#(	33	;	40593539.302057600000000	)
(	34	;	222677208.898518000000000	)
#(	35	;	1359397859.814440000000000	)
(	36	;	9265707866.188410000000000	)
#(	37	;	70742405566.301800000000000	)
(	38	;	606955664790.098000000000000	)
#(	39	;	5871046193861.040000000000000	)
(	40	;	64233205438268.400000000000000	)
#(	41	;	797429275602216.000000000000000	)
(	42	;	11269765480268500.000000000000000	)
#(	43	;	181898061804970000.000000000000000	)
(	44	;	3363805303676680000.000000000000000	)
#(	45	;	71502470232040300000.000000000000000	)
(	46	;	1752650094316280000000.000000000000000	)
#(	47	;	49699117759368500000000.000000000000000	)
(	48	;	1635593858441250000000000.000000000000000	)
#(	49	;	62671255434945400000000000.000000000000000	)
(	50	;	2804910473459160000000000000.000000000000000	)
(	52	,	9.06887E+30	)
(	54	,	56713465283298700000000000000000000.000000000000000	)
(	56	,	703729751416718000000000000000000000000.000000000000000	)
(	58	,	17773850868877400000000000000000000000000000.000000000000000	)
(	60	,	937266424366016000000000000000000000000000000000.000000000000000	)
(	62	,	105847776005491000000000000000000000000000000000000000.000000000000000	)
(	64	,	26257313190371400000000000000000000000000000000000000000000.000000000000000	)
(	66	,	14674494450543200000000000000000000000000000000000000000000000000.000000000000000	)
(	68	,	18949456498971900000000000000000000000000000000000000000000000000000000.000000000000000	)
(	70	,	57984214094183700000000000000000000000000000000000000000000000000000000000000.000000000000000	)
