( 47 ; 0.115235 )
( 48 ; 0.152253 )
( 49 ; 0.178821 )
( 50 ; 0.223169 )
( 51 ; 0.292755 )
( 52 ; 0.355261 )
( 53 ; 0.443779 )
( 54 ; 0.576516 )
( 55 ; 0.692634 )
( 56 ; 0.872307 )
#ADDPOINTS
( 57 ; 1.09053 )
( 58 ; 1.3449 )
( 59 ; 1.68485 )
( 60 ; 2.10782 )
( 61 ; 2.61719 )
( 62 ; 3.28195 )
( 63 ; 4.07 )
( 64 ; 5.06544 )
( 65 ; 6.35613 )
( 66 ; 7.96098 )
( 67 ; 9.90977 )
( 68 ; 12.4104 )
( 69 ; 15.4069 )
( 70 ; 19.3785 )
( 71 ; 24.0171 )
( 72 ; 29.2279 )
( 73 ; 32.9911 )
( 74 ; 40.8715 )
( 75 ; 51.1428 )
( 76 ; 64.2382 )
( 77 ; 79.5607 )
( 78 ; 99.775 )
( 79 ; 123.809 )
( 80 ; 155.28 )
( 81 ; 195.786 )
( 82 ; 241.652 )
( 83 ; 300.615 )
( 84 ; 380.355 )
( 85 ; 470.642 )
( 86 ; 589.707 )
( 87 ; 734.859 )
( 88 ; 912.248 )
( 89 ; 1192.72 )
( 90 ; 1528.53 )
( 91 ; 1923.3 )
( 92 ; 2382.22 )
( 93 ; 2962.63 )
( 94 ; 3721.56 )
